company_name,cin,registration_number,date_of_incorporation,company_status,company_type,company_category,industry,roc,state,city,registered_address,authorized_capital,paid_up_capital,website,email,phone
Lumen Web Studios Pvt Ltd,U72900MH2025PTC900001,900001,2025-07-15,Active,Private Limited Company,Company limited by Shares,Information Technology,RoC-Mumbai,Maharashtra,Pune,"12 Baner Road, Pune",1000000,500000,,hello@lumenwebstudios.com,+91 20 4000 1234
Saffron Table Restaurants Pvt Ltd,U55100DL2025PTC900002,900002,2025-08-02,Active,Private Limited Company,Company limited by Shares,Restaurant,RoC-Delhi,Delhi,New Delhi,"5 Connaught Place, New Delhi",800000,400000,,,+91 11 4000 5678
Aarogya Care Clinics Pvt Ltd,U85100KA2025PTC900003,900003,2025-06-20,Active,Private Limited Company,Company limited by Shares,Healthcare,RoC-Bangalore,Karnataka,Bengaluru,"88 Indiranagar, Bengaluru",2500000,1500000,http://aarogyacare.in,info@aarogyacare.in,+91 80 4000 9012
Pinnacle Realty Ventures Pvt Ltd,U70100TG2025PTC900004,900004,2025-05-11,Active,Private Limited Company,Company limited by Shares,Real Estate,RoC-Hyderabad,Telangana,Hyderabad,"22 Gachibowli, Hyderabad",6000000,3500000,,sales@pinnaclerealty.co.in,
BrightMinds Education Pvt Ltd,U80100TN2025PTC900005,900005,2025-07-28,Active,Private Limited Company,Company limited by Shares,Education,RoC-Chennai,Tamil Nadu,Chennai,"7 T Nagar, Chennai",1200000,700000,,admissions@brightminds.edu.in,+91 44 4000 3456
Forge Retail Pvt Ltd,U52100GJ2025PTC900006,900006,2025-04-09,Active,Private Limited Company,Company limited by Shares,Retail,RoC-Ahmedabad,Gujarat,Ahmedabad,"3 SG Highway, Ahmedabad",3000000,1800000,http://forgeretail.in,care@forgeretail.in,+91 79 4000 7890
Nordic Consulting Partners Pvt Ltd,U74140HR2025PTC900007,900007,2025-03-15,Active,Private Limited Company,Company limited by Shares,Consulting,RoC-Delhi,Haryana,Gurugram,"14 Cyber City, Gurugram",1000000,800000,http://nordicpartners.co.in,connect@nordicpartners.co.in,+91 124 400 1122
Skyloom Manufacturing Pvt Ltd,U27100MH2025PTC900008,900008,2024-12-30,Active,Private Limited Company,Company limited by Shares,Manufacturing,RoC-Mumbai,Maharashtra,Nagpur,"9 MIDC, Nagpur",8000000,5000000,,,+91 712 400 3344
Verve Digital Pvt Ltd,U72900KA2025PTC900009,900009,2025-08-18,Active,Private Limited Company,Company limited by Shares,Software,RoC-Bangalore,Karnataka,Bengaluru,"41 Koramangala, Bengaluru",1000000,500000,,founders@vervedigital.io,+91 80 4000 5566
GoldenSpoon Catering Pvt Ltd,U55204MH2025PTC900010,900010,2025-07-05,Active,Private Limited Company,Company limited by Shares,Restaurant,RoC-Mumbai,Maharashtra,Mumbai,"2 Andheri East, Mumbai",500000,300000,,,
Invalid Row Missing Name,,,2025-13-45,Active,,,IT,,,,,abc,xyz,notaurl,bad-email,
